名目年度,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,(単位:10億円),,,,,,
"Nominal, Fiscal Year",,,,,,,,,,,,,,,<cf>,,,,,,,,,,,(Billion Yen),,,,,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,純受取,受取,支払,,,,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,,,,
Fiscal Year,,,,,,,,,,,Net Exports,Exports,Imports,,Net,Receipt,Payment,,,,,,,,,,,,,,,
1994/4-3.,"511,958.8 ","270,953.3 ","266,250.9 ","230,797.8 ","30,816.8 ","80,484.5 ",-717.0 ,"76,328.4 ","44,955.3 ",424.7 ,"8,712.8 ","45,159.4 ","36,446.5 ",,"4,199.6 ","16,283.3 ","12,083.8 ","516,158.4 ",,"503,246.0 ","381,537.6 ","121,708.4 ",,"156,256.6 ",,"512,251.2 ",,,,,,
1995/4-3.,"525,299.5 ","276,324.8 ","271,381.7 ","234,392.6 ","29,132.9 ","85,897.5 ","1,264.9 ","79,149.3 ","47,866.8 ",273.9 ,"5,389.5 ","46,887.1 ","41,497.6 ",,"4,939.9 ","17,133.8 ","12,193.9 ","530,239.4 ",,"519,910.0 ","392,620.0 ","127,290.0 ",,"162,897.1 ",,"523,760.7 ",,,,,,
1996/4-3.,"538,659.6 ","283,765.4 ","278,702.4 ","240,049.4 ","32,971.3 ","89,692.6 ","1,539.7 ","81,806.4 ","47,087.7 ",172.9 ,"1,623.7 ","51,374.5 ","49,750.8 ",,"6,805.5 ","12,820.0 ","6,014.5 ","545,465.2 ",,"537,035.9 ","407,969.0 ","129,066.9 ",,"169,751.6 ",,"536,947.0 ",,,,,,
1997/4-3.,"542,508.0 ","284,796.5 ","279,745.5 ","239,457.9 ","27,991.0 ","91,411.1 ","3,544.9 ","83,390.8 ","44,330.4 ",214.5 ,"6,828.7 ","56,808.4 ","49,979.7 ",,"7,165.5 ","13,471.9 ","6,306.4 ","549,673.5 ",,"535,679.3 ","407,743.6 ","127,935.7 ",,"163,732.6 ",,"538,748.6 ",,,,,,
1998/4-3.,"534,564.1 ","284,701.1 ","278,920.2 ","237,596.6 ","24,626.1 ","87,008.7 ",-18.9 ,"84,466.8 ","44,386.6 ",-141.9 ,"9,535.4 ","54,129.4 ","44,593.9 ",,"6,176.8 ","11,716.4 ","5,539.6 ","540,740.9 ",,"525,028.6 ","396,317.0 ","128,711.6 ",,"156,021.5 ",,"534,724.8 ",,,,,,
1999/4-3.,"530,298.6 ","286,639.2 ","280,494.7 ","238,387.8 ","25,127.9 ","84,212.3 ","-3,124.0 ","86,155.2 ","43,523.6 ",-51.9 ,"7,816.4 ","52,827.0 ","45,010.6 ",,"6,846.1 ","10,900.5 ","4,054.3 ","537,144.8 ",,"522,482.2 ","392,855.3 ","129,626.9 ",,"152,863.7 ",,"533,474.5 ",,,,,,
