,year,Billion Yen
0,1994,511958.8
1,1995,525299.5
2,1996,538659.6
3,1997,542508.0
4,1998,534564.1
5,1999,530298.6
6,2000,537614.2
7,2001,527410.5
8,2002,523465.9
9,2003,526219.9
10,2004,529637.9
11,2005,534106.2
12,2006,537257.9
13,2007,538485.5
14,2008,516174.9
15,2009,497364.2
16,2010,504873.7
17,2011,500046.2
18,2012,499420.6
19,2013,512677.5
20,2014,523422.8
21,2015,540740.8
22,2016,544829.9
23,2017,555712.5
24,2018,556570.5
25,2019,556782.9
26,2020,537889.7
27,2021,551434.5
28,2022,562707.7
