,年月日,平均気温(℃)
0,2003/1/1,2.9
1,2003/1/2,1.6
2,2003/1/3,-0.8
3,2003/1/4,4.0
4,2003/1/5,2.3
5,2003/1/6,0.8
6,2003/1/7,-0.3
7,2003/1/8,0.6
8,2003/1/9,0.7
9,2003/1/10,4.0
10,2003/1/11,3.9
11,2003/1/12,3.6
12,2003/1/13,4.0
13,2003/1/14,4.9
14,2003/1/15,1.8
15,2003/1/16,-1.3
16,2003/1/17,2.7
17,2003/1/18,3.7
18,2003/1/19,2.5
19,2003/1/20,4.2
20,2003/1/21,3.4
21,2003/1/22,3.9
22,2003/1/23,1.2
23,2003/1/24,3.8
24,2003/1/25,2.4
25,2003/1/26,2.2
26,2003/1/27,2.9
27,2003/1/28,6.6
28,2003/1/29,1.4
29,2003/1/30,1.9
30,2003/1/31,2.7
31,2003/2/1,2.2
32,2003/2/2,0.2
33,2003/2/3,1.8
34,2003/2/4,0.5
35,2003/2/5,2.6
36,2003/2/6,1.7
37,2003/2/7,2.1
38,2003/2/8,4.8
39,2003/2/9,7.3
40,2003/2/10,8.2
41,2003/2/11,7.2
42,2003/2/12,5.2
43,2003/2/13,3.7
44,2003/2/14,3.6
45,2003/2/15,3.3
46,2003/2/16,2.9
47,2003/2/17,4.5
48,2003/2/18,3.3
49,2003/2/19,3.8
50,2003/2/20,4.8
51,2003/2/21,4.0
52,2003/2/22,3.8
53,2003/2/23,4.9
54,2003/2/24,1.6
55,2003/2/25,1.9
56,2003/2/26,5.5
57,2003/2/27,5.2
58,2003/2/28,2.0
59,2003/3/1,3.3
60,2003/3/2,8.5
61,2003/3/3,7.0
62,2003/3/4,3.1
63,2003/3/5,1.4
64,2003/3/6,3.3
65,2003/3/7,6.5
66,2003/3/8,8.0
67,2003/3/9,3.9
68,2003/3/10,2.5
69,2003/3/11,1.4
70,2003/3/12,2.2
71,2003/3/13,2.6
72,2003/3/14,4.1
73,2003/3/15,6.2
74,2003/3/16,6.7
75,2003/3/17,3.8
76,2003/3/18,4.4
77,2003/3/19,6.4
78,2003/3/20,6.2
79,2003/3/21,4.9
80,2003/3/22,5.4
81,2003/3/23,8.2
82,2003/3/24,12.1
83,2003/3/25,9.3
84,2003/3/26,11.8
85,2003/3/27,13.7
86,2003/3/28,13.0
87,2003/3/29,7.6
88,2003/3/30,6.7
89,2003/3/31,11.6
90,2003/4/1,10.2
91,2003/4/2,8.8
92,2003/4/3,8.6
93,2003/4/4,7.9
94,2003/4/5,6.2
95,2003/4/6,9.6
96,2003/4/7,11.3
97,2003/4/8,15.8
98,2003/4/9,13.7
99,2003/4/10,8.3
100,2003/4/11,10.7
101,2003/4/12,15.8
102,2003/4/13,16.7
103,2003/4/14,13.1
104,2003/4/15,10.5
105,2003/4/16,13.1
106,2003/4/17,15.1
107,2003/4/18,17.1
108,2003/4/19,18.5
109,2003/4/20,11.0
110,2003/4/21,10.4
111,2003/4/22,10.2
112,2003/4/23,13.9
113,2003/4/24,16.0
114,2003/4/25,14.5
115,2003/4/26,17.9
116,2003/4/27,14.4
117,2003/4/28,15.6
118,2003/4/29,18.0
119,2003/4/30,17.3
120,2003/5/1,12.6
121,2003/5/2,14.6
122,2003/5/3,18.3
123,2003/5/4,19.8
124,2003/5/5,16.9
125,2003/5/6,17.8
126,2003/5/7,21.1
127,2003/5/8,19.1
128,2003/5/9,11.5
129,2003/5/10,12.5
130,2003/5/11,16.1
131,2003/5/12,16.0
132,2003/5/13,18.0
133,2003/5/14,18.6
134,2003/5/15,15.9
135,2003/5/16,15.2
136,2003/5/17,13.9
137,2003/5/18,15.8
138,2003/5/19,15.4
139,2003/5/20,17.2
140,2003/5/21,17.1
141,2003/5/22,15.2
142,2003/5/23,15.6
143,2003/5/24,16.7
144,2003/5/25,15.5
145,2003/5/26,16.3
146,2003/5/27,18.0
147,2003/5/28,20.2
148,2003/5/29,19.9
149,2003/5/30,20.1
150,2003/5/31,20.2
151,2003/6/1,21.5
152,2003/6/2,18.8
153,2003/6/3,19.3
154,2003/6/4,19.0
155,2003/6/5,20.2
156,2003/6/6,16.7
157,2003/6/7,18.4
158,2003/6/8,18.0
159,2003/6/9,17.3
160,2003/6/10,18.9
161,2003/6/11,20.0
162,2003/6/12,21.0
163,2003/6/13,23.8
164,2003/6/14,23.9
165,2003/6/15,21.0
166,2003/6/16,21.1
167,2003/6/17,21.6
168,2003/6/18,22.8
169,2003/6/19,25.0
170,2003/6/20,26.4
171,2003/6/21,25.3
172,2003/6/22,22.8
173,2003/6/23,20.1
174,2003/6/24,20.7
175,2003/6/25,20.8
176,2003/6/26,18.5
177,2003/6/27,21.9
178,2003/6/28,19.9
179,2003/6/29,23.1
180,2003/6/30,23.5
181,2003/7/1,19.9
182,2003/7/2,20.2
183,2003/7/3,20.5
184,2003/7/4,23.1
185,2003/7/5,21.1
186,2003/7/6,19.4
187,2003/7/7,20.0
188,2003/7/8,18.5
189,2003/7/9,19.3
190,2003/7/10,21.4
191,2003/7/11,24.8
192,2003/7/12,23.0
193,2003/7/13,18.7
194,2003/7/14,18.3
195,2003/7/15,20.4
196,2003/7/16,20.4
197,2003/7/17,20.3
198,2003/7/18,20.4
199,2003/7/19,20.1
200,2003/7/20,22.2
201,2003/7/21,21.2
202,2003/7/22,19.5
203,2003/7/23,17.9
204,2003/7/24,20.6
205,2003/7/25,21.4
206,2003/7/26,20.3
207,2003/7/27,20.1
208,2003/7/28,20.5
209,2003/7/29,22.9
210,2003/7/30,24.4
211,2003/7/31,24.2
212,2003/8/1,22.0
213,2003/8/2,26.0
