,年月日,平均気温(℃),POSIX,year,month,day,dayofweek,1dayago,2dayago,3dayago,4dayago,5dayago,6dayago,7dayago,8dayago,9dayago,10dayago,11dayago,12dayago,13dayago,14dayago
0,2003-01-01,2.9,1041379200,2003,1,1,2,,,,,,,,,,,,,,
1,2003-01-02,1.6,1041465600,2003,1,2,3,2.9,,,,,,,,,,,,,
2,2003-01-03,-0.8,1041552000,2003,1,3,4,1.6,2.9,,,,,,,,,,,,
3,2003-01-04,4.0,1041638400,2003,1,4,5,-0.8,1.6,2.9,,,,,,,,,,,
4,2003-01-05,2.3,1041724800,2003,1,5,6,4.0,-0.8,1.6,2.9,,,,,,,,,,
5,2003-01-06,0.8,1041811200,2003,1,6,0,2.3,4.0,-0.8,1.6,2.9,,,,,,,,,
6,2003-01-07,-0.3,1041897600,2003,1,7,1,0.8,2.3,4.0,-0.8,1.6,2.9,,,,,,,,
7,2003-01-08,0.6,1041984000,2003,1,8,2,-0.3,0.8,2.3,4.0,-0.8,1.6,2.9,,,,,,,
8,2003-01-09,0.7,1042070400,2003,1,9,3,0.6,-0.3,0.8,2.3,4.0,-0.8,1.6,2.9,,,,,,
9,2003-01-10,4.0,1042156800,2003,1,10,4,0.7,0.6,-0.3,0.8,2.3,4.0,-0.8,1.6,2.9,,,,,
10,2003-01-11,3.9,1042243200,2003,1,11,5,4.0,0.7,0.6,-0.3,0.8,2.3,4.0,-0.8,1.6,2.9,,,,
11,2003-01-12,3.6,1042329600,2003,1,12,6,3.9,4.0,0.7,0.6,-0.3,0.8,2.3,4.0,-0.8,1.6,2.9,,,
12,2003-01-13,4.0,1042416000,2003,1,13,0,3.6,3.9,4.0,0.7,0.6,-0.3,0.8,2.3,4.0,-0.8,1.6,2.9,,
13,2003-01-14,4.9,1042502400,2003,1,14,1,4.0,3.6,3.9,4.0,0.7,0.6,-0.3,0.8,2.3,4.0,-0.8,1.6,2.9,
14,2003-01-15,1.8,1042588800,2003,1,15,2,4.9,4.0,3.6,3.9,4.0,0.7,0.6,-0.3,0.8,2.3,4.0,-0.8,1.6,2.9
15,2003-01-16,-1.3,1042675200,2003,1,16,3,1.8,4.9,4.0,3.6,3.9,4.0,0.7,0.6,-0.3,0.8,2.3,4.0,-0.8,1.6
16,2003-01-17,2.7,1042761600,2003,1,17,4,-1.3,1.8,4.9,4.0,3.6,3.9,4.0,0.7,0.6,-0.3,0.8,2.3,4.0,-0.8
17,2003-01-18,3.7,1042848000,2003,1,18,5,2.7,-1.3,1.8,4.9,4.0,3.6,3.9,4.0,0.7,0.6,-0.3,0.8,2.3,4.0
18,2003-01-19,2.5,1042934400,2003,1,19,6,3.7,2.7,-1.3,1.8,4.9,4.0,3.6,3.9,4.0,0.7,0.6,-0.3,0.8,2.3
19,2003-01-20,4.2,1043020800,2003,1,20,0,2.5,3.7,2.7,-1.3,1.8,4.9,4.0,3.6,3.9,4.0,0.7,0.6,-0.3,0.8
20,2003-01-21,3.4,1043107200,2003,1,21,1,4.2,2.5,3.7,2.7,-1.3,1.8,4.9,4.0,3.6,3.9,4.0,0.7,0.6,-0.3
21,2003-01-22,3.9,1043193600,2003,1,22,2,3.4,4.2,2.5,3.7,2.7,-1.3,1.8,4.9,4.0,3.6,3.9,4.0,0.7,0.6
22,2003-01-23,1.2,1043280000,2003,1,23,3,3.9,3.4,4.2,2.5,3.7,2.7,-1.3,1.8,4.9,4.0,3.6,3.9,4.0,0.7
23,2003-01-24,3.8,1043366400,2003,1,24,4,1.2,3.9,3.4,4.2,2.5,3.7,2.7,-1.3,1.8,4.9,4.0,3.6,3.9,4.0
24,2003-01-25,2.4,1043452800,2003,1,25,5,3.8,1.2,3.9,3.4,4.2,2.5,3.7,2.7,-1.3,1.8,4.9,4.0,3.6,3.9
25,2003-01-26,2.2,1043539200,2003,1,26,6,2.4,3.8,1.2,3.9,3.4,4.2,2.5,3.7,2.7,-1.3,1.8,4.9,4.0,3.6
26,2003-01-27,2.9,1043625600,2003,1,27,0,2.2,2.4,3.8,1.2,3.9,3.4,4.2,2.5,3.7,2.7,-1.3,1.8,4.9,4.0
27,2003-01-28,6.6,1043712000,2003,1,28,1,2.9,2.2,2.4,3.8,1.2,3.9,3.4,4.2,2.5,3.7,2.7,-1.3,1.8,4.9
28,2003-01-29,1.4,1043798400,2003,1,29,2,6.6,2.9,2.2,2.4,3.8,1.2,3.9,3.4,4.2,2.5,3.7,2.7,-1.3,1.8
29,2003-01-30,1.9,1043884800,2003,1,30,3,1.4,6.6,2.9,2.2,2.4,3.8,1.2,3.9,3.4,4.2,2.5,3.7,2.7,-1.3
30,2003-01-31,2.7,1043971200,2003,1,31,4,1.9,1.4,6.6,2.9,2.2,2.4,3.8,1.2,3.9,3.4,4.2,2.5,3.7,2.7
31,2003-02-01,2.2,1044057600,2003,2,1,5,2.7,1.9,1.4,6.6,2.9,2.2,2.4,3.8,1.2,3.9,3.4,4.2,2.5,3.7
32,2003-02-02,0.2,1044144000,2003,2,2,6,2.2,2.7,1.9,1.4,6.6,2.9,2.2,2.4,3.8,1.2,3.9,3.4,4.2,2.5
33,2003-02-03,1.8,1044230400,2003,2,3,0,0.2,2.2,2.7,1.9,1.4,6.6,2.9,2.2,2.4,3.8,1.2,3.9,3.4,4.2
34,2003-02-04,0.5,1044316800,2003,2,4,1,1.8,0.2,2.2,2.7,1.9,1.4,6.6,2.9,2.2,2.4,3.8,1.2,3.9,3.4
35,2003-02-05,2.6,1044403200,2003,2,5,2,0.5,1.8,0.2,2.2,2.7,1.9,1.4,6.6,2.9,2.2,2.4,3.8,1.2,3.9
36,2003-02-06,1.7,1044489600,2003,2,6,3,2.6,0.5,1.8,0.2,2.2,2.7,1.9,1.4,6.6,2.9,2.2,2.4,3.8,1.2
37,2003-02-07,2.1,1044576000,2003,2,7,4,1.7,2.6,0.5,1.8,0.2,2.2,2.7,1.9,1.4,6.6,2.9,2.2,2.4,3.8
38,2003-02-08,4.8,1044662400,2003,2,8,5,2.1,1.7,2.6,0.5,1.8,0.2,2.2,2.7,1.9,1.4,6.6,2.9,2.2,2.4
39,2003-02-09,7.3,1044748800,2003,2,9,6,4.8,2.1,1.7,2.6,0.5,1.8,0.2,2.2,2.7,1.9,1.4,6.6,2.9,2.2
40,2003-02-10,8.2,1044835200,2003,2,10,0,7.3,4.8,2.1,1.7,2.6,0.5,1.8,0.2,2.2,2.7,1.9,1.4,6.6,2.9
41,2003-02-11,7.2,1044921600,2003,2,11,1,8.2,7.3,4.8,2.1,1.7,2.6,0.5,1.8,0.2,2.2,2.7,1.9,1.4,6.6
42,2003-02-12,5.2,1045008000,2003,2,12,2,7.2,8.2,7.3,4.8,2.1,1.7,2.6,0.5,1.8,0.2,2.2,2.7,1.9,1.4
43,2003-02-13,3.7,1045094400,2003,2,13,3,5.2,7.2,8.2,7.3,4.8,2.1,1.7,2.6,0.5,1.8,0.2,2.2,2.7,1.9
44,2003-02-14,3.6,1045180800,2003,2,14,4,3.7,5.2,7.2,8.2,7.3,4.8,2.1,1.7,2.6,0.5,1.8,0.2,2.2,2.7
45,2003-02-15,3.3,1045267200,2003,2,15,5,3.6,3.7,5.2,7.2,8.2,7.3,4.8,2.1,1.7,2.6,0.5,1.8,0.2,2.2
46,2003-02-16,2.9,1045353600,2003,2,16,6,3.3,3.6,3.7,5.2,7.2,8.2,7.3,4.8,2.1,1.7,2.6,0.5,1.8,0.2
47,2003-02-17,4.5,1045440000,2003,2,17,0,2.9,3.3,3.6,3.7,5.2,7.2,8.2,7.3,4.8,2.1,1.7,2.6,0.5,1.8
48,2003-02-18,3.3,1045526400,2003,2,18,1,4.5,2.9,3.3,3.6,3.7,5.2,7.2,8.2,7.3,4.8,2.1,1.7,2.6,0.5
49,2003-02-19,3.8,1045612800,2003,2,19,2,3.3,4.5,2.9,3.3,3.6,3.7,5.2,7.2,8.2,7.3,4.8,2.1,1.7,2.6
50,2003-02-20,4.8,1045699200,2003,2,20,3,3.8,3.3,4.5,2.9,3.3,3.6,3.7,5.2,7.2,8.2,7.3,4.8,2.1,1.7
51,2003-02-21,4.0,1045785600,2003,2,21,4,4.8,3.8,3.3,4.5,2.9,3.3,3.6,3.7,5.2,7.2,8.2,7.3,4.8,2.1
52,2003-02-22,3.8,1045872000,2003,2,22,5,4.0,4.8,3.8,3.3,4.5,2.9,3.3,3.6,3.7,5.2,7.2,8.2,7.3,4.8
