,year,world_temp,北半球,南半球,CO2/ppm,Unixtime
0,1984,-0.51,-0.67,-0.31,344.3,441504000
1,1985,-0.51,-0.72,-0.28,345.7,473040000
2,1986,-0.42,-0.57,-0.25,347.2,504576000
3,1987,-0.27,-0.46,-0.06,349.0,536112000
4,1988,-0.28,-0.37,-0.17,351.3,567648000
5,1989,-0.35,-0.43,-0.26,353.0,599184000
6,1990,-0.19,-0.22,-0.17,354.1,630720000
7,1991,-0.24,-0.3,-0.16,355.4,662256000
8,1992,-0.39,-0.52,-0.23,356.2,693792000
9,1993,-0.35,-0.48,-0.2,357.0,725328000
10,1994,-0.27,-0.31,-0.22,358.5,756864000
11,1995,-0.15,-0.14,-0.17,360.3,788400000
12,1996,-0.28,-0.4,-0.15,362.1,819936000
13,1997,-0.09,-0.14,-0.02,363.3,851472000
14,1998,0.06,0.02,0.11,366.0,883008000
15,1999,-0.17,-0.18,-0.15,368.0,914544000
16,2000,-0.19,-0.2,-0.17,369.4,946080000
17,2001,-0.05,-0.07,-0.04,370.9,977616000
18,2002,0.0,-0.04,0.03,372.9,1009152000
19,2003,0.01,0.01,0.01,375.3,1040688000
20,2004,-0.05,-0.05,-0.05,377.1,1072224000
21,2005,0.06,0.09,0.02,379.2,1103760000
22,2006,0.02,0.05,0.0,381.3,1135296000
23,2007,0.0,0.06,-0.06,383.1,1166832000
24,2008,-0.08,-0.07,-0.08,385.1,1198368000
25,2009,0.03,-0.02,0.08,386.7,1229904000
26,2010,0.11,0.14,0.07,388.9,1261440000
27,2011,-0.05,-0.06,-0.04,390.9,1292976000
28,2012,0.01,0.0,0.03,393.1,1324512000
29,2013,0.07,0.06,0.08,395.7,1356048000
30,2014,0.13,0.15,0.1,397.7,1387584000
31,2015,0.3,0.38,0.2,400.0,1419120000
